id,description,label
1,"Looking for interns at StartUpX in Software Developer. Paid internship (₹10000) for 1 month, requires Excel, Photoshop.",genuine
2,"Reliance offers an exciting 6 weeks internship in HR Intern. Skills required: HTML/CSS, Java. Stipend ₹10000.",genuine
3,"Looking for interns at Microsoft in Software Developer. Paid internship (₹5000) for 3 months, requires Marketing, Excel.",genuine
4,"Internship opportunity at TechVision for Software Developer. Duration 2 months, stipend ₹10000, requires skills in Python, SQL.",genuine
5,"Google is offering a 2 months internship in Marketing Intern. Applicants should know Marketing, SQL. Stipend is ₹5000.",genuine
6,"Reliance offers an exciting 2 months internship in Marketing Intern. Skills required: Photoshop, Java. Stipend ₹10000.",genuine
7,"Looking for interns at TechVision in Graphic Designer. Paid internship (₹8000) for 2 months, requires Java, SQL.",genuine
8,"Internship opportunity at Reliance for Data Analyst. Duration 1 month, stipend ₹8000, requires skills in Excel, Python.",genuine
9,"Reliance offers an exciting 6 weeks internship in Web Developer. Skills required: Java, Excel. Stipend ₹15000.",genuine
10,"Reliance is offering a 3 months internship in Software Developer. Applicants should know Java, Excel. Stipend is ₹8000.",genuine
11,"Microsoft is offering a 6 weeks internship in Data Analyst. Applicants should know Python, Marketing. Stipend is ₹10000.",genuine
12,"Looking for interns at Wipro in Graphic Designer. Paid internship (₹8000) for 6 weeks, requires Python, Java.",genuine
13,"Looking for interns at Microsoft in Graphic Designer. Paid internship (₹10000) for 1 month, requires Photoshop, Python.",genuine
14,"TCS is offering a 6 weeks internship in Software Developer. Applicants should know Python, Excel. Stipend is ₹5000.",genuine
15,"Looking for interns at TechVision in Marketing Intern. Paid internship (₹15000) for 2 months, requires Marketing, Python.",genuine
16,"EduCorp offers an exciting 2 months internship in Graphic Designer. Skills required: Excel, SQL. Stipend ₹8000.",genuine
17,"Internship opportunity at Microsoft for Web Developer. Duration 1 month, stipend ₹5000, requires skills in Excel, Java.",genuine
18,"Looking for interns at Infosys in Web Developer. Paid internship (₹5000) for 1 month, requires Photoshop, Python.",genuine
19,"Internship opportunity at TCS for Web Developer. Duration 6 weeks, stipend ₹10000, requires skills in Excel, Java.",genuine
20,"TCS is offering a 2 months internship in Graphic Designer. Applicants should know Photoshop, HTML/CSS. Stipend is ₹15000.",genuine
21,"Infosys offers an exciting 3 months internship in Software Developer. Skills required: SQL, Marketing. Stipend ₹5000.",genuine
22,"Internship opportunity at TechVision for Graphic Designer. Duration 2 months, stipend ₹8000, requires skills in HTML/CSS, Python.",genuine
23,"Wipro is offering a 1 month internship in Data Analyst. Applicants should know Python, Marketing. Stipend is ₹10000.",genuine
24,"EduCorp offers an exciting 2 months internship in Graphic Designer. Skills required: Marketing, HTML/CSS. Stipend ₹5000.",genuine
25,"Internship opportunity at Wipro for Software Developer. Duration 3 months, stipend ₹8000, requires skills in Java, Excel.",genuine
26,"Google is offering a 3 months internship in Marketing Intern. Applicants should know Excel, Marketing. Stipend is ₹8000.",genuine
27,"Microsoft is offering a 3 months internship in Web Developer. Applicants should know Excel, HTML/CSS. Stipend is ₹10000.",genuine
28,"Microsoft is offering a 3 months internship in Marketing Intern. Applicants should know Photoshop, Excel. Stipend is ₹10000.",genuine
29,"StartUpX is offering a 3 months internship in Marketing Intern. Applicants should know SQL, Java. Stipend is ₹5000.",genuine
30,"Internship opportunity at Reliance for Data Analyst. Duration 1 month, stipend ₹10000, requires skills in Marketing, Python.",genuine
31,"Infosys is offering a 1 month internship in Marketing Intern. Applicants should know Python, Excel. Stipend is ₹5000.",genuine
32,"EduCorp offers an exciting 2 months internship in Graphic Designer. Skills required: Photoshop, Java. Stipend ₹15000.",genuine
33,"EduCorp is offering a 6 weeks internship in Software Developer. Applicants should know HTML/CSS, Python. Stipend is ₹5000.",genuine
34,"Google is offering a 6 weeks internship in Marketing Intern. Applicants should know SQL, Python. Stipend is ₹8000.",genuine
35,"Google is offering a 1 month internship in Graphic Designer. Applicants should know Excel, SQL. Stipend is ₹10000.",genuine
36,"Looking for interns at TCS in Marketing Intern. Paid internship (₹5000) for 3 months, requires Photoshop, SQL.",genuine
37,"Looking for interns at Reliance in Graphic Designer. Paid internship (₹10000) for 2 months, requires HTML/CSS, Excel.",genuine
38,"Internship opportunity at Infosys for Software Developer. Duration 6 weeks, stipend ₹5000, requires skills in Marketing, Photoshop.",genuine
39,"Looking for interns at TCS in Graphic Designer. Paid internship (₹15000) for 1 month, requires HTML/CSS, Photoshop.",genuine
40,"Internship opportunity at Infosys for HR Intern. Duration 1 month, stipend ₹15000, requires skills in Python, Photoshop.",genuine
41,"StartUpX offers an exciting 6 weeks internship in Software Developer. Skills required: SQL, Python. Stipend ₹5000.",genuine
42,"StartUpX offers an exciting 3 months internship in Graphic Designer. Skills required: Excel, Java. Stipend ₹15000.",genuine
43,"Wipro offers an exciting 2 months internship in Web Developer. Skills required: Java, Python. Stipend ₹5000.",genuine
44,"TCS offers an exciting 6 weeks internship in HR Intern. Skills required: SQL, Python. Stipend ₹5000.",genuine
45,"Internship opportunity at Google for Web Developer. Duration 1 month, stipend ₹5000, requires skills in Marketing, Java.",genuine
46,"Internship opportunity at Google for Data Analyst. Duration 6 weeks, stipend ₹8000, requires skills in Excel, Marketing.",genuine
47,"Internship opportunity at TCS for Marketing Intern. Duration 2 months, stipend ₹10000, requires skills in SQL, Excel.",genuine
48,"Google offers an exciting 3 months internship in Data Analyst. Skills required: HTML/CSS, Marketing. Stipend ₹15000.",genuine
49,"TechVision is offering a 1 month internship in Web Developer. Applicants should know Excel, Marketing. Stipend is ₹5000.",genuine
50,"Looking for interns at TCS in Graphic Designer. Paid internship (₹5000) for 6 weeks, requires Python, Java.",genuine
51,"Google offers an exciting 6 weeks internship in Marketing Intern. Skills required: Marketing, Python. Stipend ₹8000.",genuine
52,"Google is offering a 1 month internship in Marketing Intern. Applicants should know Excel, Java. Stipend is ₹5000.",genuine
53,"Looking for interns at Wipro in Marketing Intern. Paid internship (₹10000) for 6 weeks, requires HTML/CSS, Excel.",genuine
54,"Wipro offers an exciting 2 months internship in Web Developer. Skills required: Marketing, Python. Stipend ₹10000.",genuine
55,"TCS is offering a 6 weeks internship in Data Analyst. Applicants should know Python, Java. Stipend is ₹8000.",genuine
56,"Looking for interns at Wipro in HR Intern. Paid internship (₹15000) for 6 weeks, requires SQL, Marketing.",genuine
57,"Looking for interns at Wipro in Web Developer. Paid internship (₹10000) for 1 month, requires Photoshop, Marketing.",genuine
58,"Wipro is offering a 1 month internship in HR Intern. Applicants should know Python, HTML/CSS. Stipend is ₹5000.",genuine
59,"Looking for interns at Reliance in Graphic Designer. Paid internship (₹10000) for 2 months, requires Python, Photoshop.",genuine
60,"Google is offering a 3 months internship in HR Intern. Applicants should know Excel, Photoshop. Stipend is ₹8000.",genuine
61,"Internship opportunity at Google for Data Analyst. Duration 3 months, stipend ₹10000, requires skills in HTML/CSS, SQL.",genuine
62,"Looking for interns at Microsoft in Graphic Designer. Paid internship (₹8000) for 3 months, requires Java, Marketing.",genuine
63,"Reliance offers an exciting 2 months internship in Marketing Intern. Skills required: HTML/CSS, Marketing. Stipend ₹15000.",genuine
64,"Looking for interns at Infosys in Software Developer. Paid internship (₹8000) for 1 month, requires Photoshop, Marketing.",genuine
65,"Looking for interns at Infosys in Marketing Intern. Paid internship (₹8000) for 1 month, requires Marketing, SQL.",genuine
66,"Microsoft offers an exciting 2 months internship in Data Analyst. Skills required: Excel, Java. Stipend ₹5000.",genuine
67,"Internship opportunity at Wipro for Marketing Intern. Duration 6 weeks, stipend ₹15000, requires skills in Marketing, Java.",genuine
68,"Internship opportunity at Microsoft for Marketing Intern. Duration 3 months, stipend ₹10000, requires skills in Marketing, HTML/CSS.",genuine
69,"StartUpX is offering a 3 months internship in Software Developer. Applicants should know Photoshop, Java. Stipend is ₹15000.",genuine
70,"Microsoft offers an exciting 1 month internship in Graphic Designer. Skills required: Excel, Marketing. Stipend ₹5000.",genuine
71,"TCS offers an exciting 6 weeks internship in Graphic Designer. Skills required: SQL, Python. Stipend ₹5000.",genuine
72,"StartUpX offers an exciting 3 months internship in Software Developer. Skills required: Marketing, HTML/CSS. Stipend ₹8000.",genuine
73,"Reliance is offering a 1 month internship in Software Developer. Applicants should know Java, HTML/CSS. Stipend is ₹10000.",genuine
74,"Looking for interns at Wipro in HR Intern. Paid internship (₹8000) for 2 months, requires HTML/CSS, Marketing.",genuine
75,"Internship opportunity at TCS for Web Developer. Duration 6 weeks, stipend ₹15000, requires skills in Marketing, SQL.",genuine
76,"Microsoft offers an exciting 3 months internship in Web Developer. Skills required: SQL, Marketing. Stipend ₹10000.",genuine
77,"Looking for interns at EduCorp in Web Developer. Paid internship (₹8000) for 1 month, requires Python, SQL.",genuine
78,"Google offers an exciting 2 months internship in Web Developer. Skills required: SQL, Marketing. Stipend ₹8000.",genuine
79,"Looking for interns at StartUpX in HR Intern. Paid internship (₹8000) for 3 months, requires Marketing, SQL.",genuine
80,"Internship opportunity at Microsoft for Data Analyst. Duration 3 months, stipend ₹15000, requires skills in Java, Photoshop.",genuine
81,"StartUpX is offering a 2 months internship in HR Intern. Applicants should know Marketing, Photoshop. Stipend is ₹8000.",genuine
82,"TechVision is offering a 2 months internship in Graphic Designer. Applicants should know Python, HTML/CSS. Stipend is ₹5000.",genuine
83,"Google offers an exciting 3 months internship in Software Developer. Skills required: Marketing, Excel. Stipend ₹15000.",genuine
84,"EduCorp offers an exciting 1 month internship in Graphic Designer. Skills required: Python, Marketing. Stipend ₹15000.",genuine
85,"TCS is offering a 1 month internship in Software Developer. Applicants should know HTML/CSS, Marketing. Stipend is ₹15000.",genuine
86,"Internship opportunity at EduCorp for HR Intern. Duration 6 weeks, stipend ₹5000, requires skills in HTML/CSS, Marketing.",genuine
87,"Looking for interns at Microsoft in Software Developer. Paid internship (₹15000) for 2 months, requires HTML/CSS, Marketing.",genuine
88,"Looking for interns at TechVision in Graphic Designer. Paid internship (₹8000) for 2 months, requires Photoshop, Marketing.",genuine
89,"Internship opportunity at Wipro for Data Analyst. Duration 2 months, stipend ₹15000, requires skills in Python, HTML/CSS.",genuine
90,"Infosys is offering a 6 weeks internship in Graphic Designer. Applicants should know Python, Marketing. Stipend is ₹10000.",genuine
91,"Infosys offers an exciting 2 months internship in Graphic Designer. Skills required: Python, Java. Stipend ₹15000.",genuine
92,"TechVision offers an exciting 6 weeks internship in Graphic Designer. Skills required: HTML/CSS, Excel. Stipend ₹5000.",genuine
93,"Internship opportunity at Infosys for Data Analyst. Duration 3 months, stipend ₹5000, requires skills in Java, HTML/CSS.",genuine
94,"StartUpX offers an exciting 3 months internship in Software Developer. Skills required: HTML/CSS, Marketing. Stipend ₹10000.",genuine
95,"TCS offers an exciting 6 weeks internship in Web Developer. Skills required: Python, SQL. Stipend ₹10000.",genuine
96,"TCS offers an exciting 6 weeks internship in Marketing Intern. Skills required: Java, Marketing. Stipend ₹15000.",genuine
97,"Looking for interns at TechVision in Web Developer. Paid internship (₹10000) for 2 months, requires Java, SQL.",genuine
98,"Internship opportunity at Reliance for Marketing Intern. Duration 6 weeks, stipend ₹5000, requires skills in HTML/CSS, Marketing.",genuine
99,"EduCorp offers an exciting 1 month internship in Software Developer. Skills required: HTML/CSS, Marketing. Stipend ₹8000.",genuine
100,"TechVision is offering a 2 months internship in Marketing Intern. Applicants should know HTML/CSS, Excel. Stipend is ₹8000.",genuine
101,"Work from home Software Developer, no skills required, earn up to ₹10000, pay small registration fee.",fake
102,No skills needed internship. Just pay ₹1000 to confirm your seat. Earn ₹8000 quickly!,fake
103,No skills needed internship. Just pay ₹2000 to confirm your seat. Earn ₹5000 quickly!,fake
104,EduCorp internship – easy income from home. Contact us only on WhatsApp. ₹5000 per month guaranteed.,fake
105,No skills needed internship. Just pay ₹500 to confirm your seat. Earn ₹5000 quickly!,fake
106,Infosys internship – easy income from home. Contact us only on WhatsApp. ₹15000 per month guaranteed.,fake
107,"Hurry! Limited Marketing Intern positions, apply now with ₹2000 registration. Duration 3 months.",fake
108,No skills needed internship. Just pay ₹1000 to confirm your seat. Earn ₹5000 quickly!,fake
109,"Work from home Data Analyst, no skills required, earn up to ₹15000, pay small registration fee.",fake
110,TechVision internship – easy income from home. Contact us only on WhatsApp. ₹10000 per month guaranteed.,fake
111,Reliance internship – easy income from home. Contact us only on WhatsApp. ₹8000 per month guaranteed.,fake
112,Wipro internship – easy income from home. Contact us only on WhatsApp. ₹15000 per month guaranteed.,fake
113,StartUpX internship – easy income from home. Contact us only on WhatsApp. ₹8000 per month guaranteed.,fake
114,No skills needed internship. Just pay ₹1000 to confirm your seat. Earn ₹5000 quickly!,fake
115,"Hurry! Limited Data Analyst positions, apply now with ₹500 registration. Duration 1 month.",fake
116,"Hurry! Limited Web Developer positions, apply now with ₹2000 registration. Duration 3 months.",fake
117,No skills needed internship. Just pay ₹2000 to confirm your seat. Earn ₹8000 quickly!,fake
118,"Hurry! Limited Web Developer positions, apply now with ₹500 registration. Duration 3 months.",fake
119,No skills needed internship. Just pay ₹500 to confirm your seat. Earn ₹8000 quickly!,fake
120,No skills needed internship. Just pay ₹500 to confirm your seat. Earn ₹15000 quickly!,fake
121,"Hurry! Limited HR Intern positions, apply now with ₹500 registration. Duration 3 months.",fake
122,No skills needed internship. Just pay ₹500 to confirm your seat. Earn ₹5000 quickly!,fake
123,"Hurry! Limited Software Developer positions, apply now with ₹2000 registration. Duration 3 months.",fake
124,"Work from home Software Developer, no skills required, earn up to ₹15000, pay small registration fee.",fake
125,"Hurry! Limited Software Developer positions, apply now with ₹2000 registration. Duration 6 weeks.",fake
126,"Work from home Web Developer, no skills required, earn up to ₹8000, pay small registration fee.",fake
127,Wipro internship – easy income from home. Contact us only on WhatsApp. ₹8000 per month guaranteed.,fake
128,"Work from home HR Intern, no skills required, earn up to ₹10000, pay small registration fee.",fake
129,Microsoft internship – easy income from home. Contact us only on WhatsApp. ₹15000 per month guaranteed.,fake
130,StartUpX internship – easy income from home. Contact us only on WhatsApp. ₹5000 per month guaranteed.,fake
131,Reliance internship – easy income from home. Contact us only on WhatsApp. ₹8000 per month guaranteed.,fake
132,"Work from home Graphic Designer, no skills required, earn up to ₹15000, pay small registration fee.",fake
133,"Hurry! Limited Software Developer positions, apply now with ₹1000 registration. Duration 3 months.",fake
134,No skills needed internship. Just pay ₹500 to confirm your seat. Earn ₹5000 quickly!,fake
135,TechVision internship – easy income from home. Contact us only on WhatsApp. ₹8000 per month guaranteed.,fake
136,"Hurry! Limited Marketing Intern positions, apply now with ₹1000 registration. Duration 3 months.",fake
137,Reliance internship – easy income from home. Contact us only on WhatsApp. ₹15000 per month guaranteed.,fake
138,No skills needed internship. Just pay ₹2000 to confirm your seat. Earn ₹5000 quickly!,fake
139,StartUpX internship – easy income from home. Contact us only on WhatsApp. ₹15000 per month guaranteed.,fake
140,"Hurry! Limited Software Developer positions, apply now with ₹2000 registration. Duration 1 month.",fake
141,"Work from home Data Analyst, no skills required, earn up to ₹5000, pay small registration fee.",fake
142,No skills needed internship. Just pay ₹500 to confirm your seat. Earn ₹15000 quickly!,fake
143,No skills needed internship. Just pay ₹2000 to confirm your seat. Earn ₹8000 quickly!,fake
144,"Work from home Data Analyst, no skills required, earn up to ₹5000, pay small registration fee.",fake
145,No skills needed internship. Just pay ₹1000 to confirm your seat. Earn ₹15000 quickly!,fake
146,Google internship – easy income from home. Contact us only on WhatsApp. ₹15000 per month guaranteed.,fake
147,"Hurry! Limited Data Analyst positions, apply now with ₹500 registration. Duration 2 months.",fake
148,No skills needed internship. Just pay ₹2000 to confirm your seat. Earn ₹8000 quickly!,fake
149,EduCorp internship – easy income from home. Contact us only on WhatsApp. ₹10000 per month guaranteed.,fake
150,StartUpX internship – easy income from home. Contact us only on WhatsApp. ₹5000 per month guaranteed.,fake
151,No skills needed internship. Just pay ₹2000 to confirm your seat. Earn ₹15000 quickly!,fake
152,"Work from home Software Developer, no skills required, earn up to ₹15000, pay small registration fee.",fake
153,No skills needed internship. Just pay ₹1000 to confirm your seat. Earn ₹8000 quickly!,fake
154,"Work from home Web Developer, no skills required, earn up to ₹5000, pay small registration fee.",fake
155,"Work from home Data Analyst, no skills required, earn up to ₹5000, pay small registration fee.",fake
156,"Work from home Software Developer, no skills required, earn up to ₹10000, pay small registration fee.",fake
157,No skills needed internship. Just pay ₹500 to confirm your seat. Earn ₹10000 quickly!,fake
158,No skills needed internship. Just pay ₹500 to confirm your seat. Earn ₹5000 quickly!,fake
159,No skills needed internship. Just pay ₹1000 to confirm your seat. Earn ₹15000 quickly!,fake
160,"Hurry! Limited Data Analyst positions, apply now with ₹500 registration. Duration 1 month.",fake
161,No skills needed internship. Just pay ₹500 to confirm your seat. Earn ₹5000 quickly!,fake
162,"Work from home Data Analyst, no skills required, earn up to ₹15000, pay small registration fee.",fake
163,"Work from home Web Developer, no skills required, earn up to ₹5000, pay small registration fee.",fake
164,No skills needed internship. Just pay ₹1000 to confirm your seat. Earn ₹5000 quickly!,fake
165,No skills needed internship. Just pay ₹500 to confirm your seat. Earn ₹10000 quickly!,fake
166,TCS internship – easy income from home. Contact us only on WhatsApp. ₹8000 per month guaranteed.,fake
167,"Hurry! Limited Marketing Intern positions, apply now with ₹1000 registration. Duration 3 months.",fake
168,"Work from home HR Intern, no skills required, earn up to ₹10000, pay small registration fee.",fake
169,"Work from home Data Analyst, no skills required, earn up to ₹5000, pay small registration fee.",fake
170,No skills needed internship. Just pay ₹2000 to confirm your seat. Earn ₹5000 quickly!,fake
171,"Hurry! Limited HR Intern positions, apply now with ₹500 registration. Duration 2 months.",fake
172,Microsoft internship – easy income from home. Contact us only on WhatsApp. ₹15000 per month guaranteed.,fake
173,Google internship – easy income from home. Contact us only on WhatsApp. ₹10000 per month guaranteed.,fake
174,No skills needed internship. Just pay ₹1000 to confirm your seat. Earn ₹15000 quickly!,fake
175,No skills needed internship. Just pay ₹1000 to confirm your seat. Earn ₹5000 quickly!,fake
176,"Work from home Software Developer, no skills required, earn up to ₹5000, pay small registration fee.",fake
177,"Work from home Software Developer, no skills required, earn up to ₹8000, pay small registration fee.",fake
178,"Work from home HR Intern, no skills required, earn up to ₹10000, pay small registration fee.",fake
179,"Work from home Data Analyst, no skills required, earn up to ₹5000, pay small registration fee.",fake
180,"Hurry! Limited Graphic Designer positions, apply now with ₹2000 registration. Duration 2 months.",fake
181,"Hurry! Limited Marketing Intern positions, apply now with ₹2000 registration. Duration 1 month.",fake
182,"Work from home Software Developer, no skills required, earn up to ₹15000, pay small registration fee.",fake
183,TechVision internship – easy income from home. Contact us only on WhatsApp. ₹10000 per month guaranteed.,fake
184,"Hurry! Limited Web Developer positions, apply now with ₹2000 registration. Duration 3 months.",fake
185,"Hurry! Limited Web Developer positions, apply now with ₹500 registration. Duration 3 months.",fake
186,"Work from home Marketing Intern, no skills required, earn up to ₹5000, pay small registration fee.",fake
187,"Work from home Software Developer, no skills required, earn up to ₹15000, pay small registration fee.",fake
188,Infosys internship – easy income from home. Contact us only on WhatsApp. ₹5000 per month guaranteed.,fake
189,"Work from home HR Intern, no skills required, earn up to ₹8000, pay small registration fee.",fake
190,"Work from home Data Analyst, no skills required, earn up to ₹15000, pay small registration fee.",fake
191,Microsoft internship – easy income from home. Contact us only on WhatsApp. ₹8000 per month guaranteed.,fake
192,"Hurry! Limited Marketing Intern positions, apply now with ₹1000 registration. Duration 2 months.",fake
193,No skills needed internship. Just pay ₹2000 to confirm your seat. Earn ₹15000 quickly!,fake
194,No skills needed internship. Just pay ₹500 to confirm your seat. Earn ₹5000 quickly!,fake
195,Wipro internship – easy income from home. Contact us only on WhatsApp. ₹10000 per month guaranteed.,fake
196,"Work from home Graphic Designer, no skills required, earn up to ₹10000, pay small registration fee.",fake
197,"Work from home Software Developer, no skills required, earn up to ₹8000, pay small registration fee.",fake
198,Wipro internship – easy income from home. Contact us only on WhatsApp. ₹15000 per month guaranteed.,fake
199,"Work from home Software Developer, no skills required, earn up to ₹8000, pay small registration fee.",fake
200,"Work from home Graphic Designer, no skills required, earn up to ₹15000, pay small registration fee.",fake
